miRNA_ID	Seq-ID	miRNA_loci	Expected_canonical_ID
gma-miR168b.v1	miR8_R731_L21	gma-miR168b	gma-miR168b
gma-miR168b.v2	miR584_R11_L20	gma-miR168b	gma-miR168b
gma-miR169d.v1	miR163_R99_L22	gma-miR169d	gma-miR169d
gma-miR169d.v2	miR174_R90_L20	gma-miR169d	gma-miR169d
gma-miR169d.v3	miR1308_R2_L21	gma-miR169d	gma-miR169d
gma-miR169h.v1	miR163_R99_L22	gma-miR169h	gma-miR169h
gma-miR169h.v2	miR174_R90_L20	gma-miR169h	gma-miR169h
gma-miR169h.v3	miR1308_R2_L21	gma-miR169h	gma-miR169h
gma-miR169i-5p.v1	miR383_R25_L23	gma-miR169i	gma-miR169i-5p
gma-miR169s-5p.v1	miR174_R90_L20	gma-miR169s	gma-miR169s-5p
gma-miR169s-5p.v2	miR178_R88_L21	gma-miR169s	gma-miR169s-5p
gma-miR171a.v1	miR271_R44_L22	gma-miR171a	gma-miR171a
gma-miR171a.v2	miR523_R13_L21	gma-miR171a	gma-miR171a
gma-miR171a.v3	miR524_R13_L20	gma-miR171a	gma-miR171a
gma-miR171b-5p.v1	miR128_R135_L22	gma-miR171b	gma-miR171b-5p
gma-miR171b-5p.v2	miR529_R13_L23	gma-miR171b	gma-miR171b-5p
gma-miR171h.v1	miR128_R135_L22	gma-miR171h	gma-miR171h
gma-miR171h.v2	miR529_R13_L23	gma-miR171h	gma-miR171h
gma-miR171i-3p.v1	miR271_R44_L22	gma-miR171i	gma-miR171i-3p
gma-miR171i-3p.v2	miR523_R13_L21	gma-miR171i	gma-miR171i-3p
gma-miR171i-3p.v3	miR524_R13_L20	gma-miR171i	gma-miR171i-3p
gma-miR172d.v1	miR115_R154_L21	gma-miR172d	gma-miR172d
gma-miR172e.v1	miR115_R154_L21	gma-miR172e	gma-miR172e
gma-miR172f.v1	miR56_R325_L21	gma-miR172f	gma-miR172f
gma-miR172g.v1	miR817_R6_L21	gma-miR172g	gma-miR172g
gma-miR2109-5p.v1	miR43_R396_L21	gma-miR2109	gma-miR2109-5p
gma-miR2109-5p.v2	miR607_R11_L22	gma-miR2109	gma-miR2109-5p
gma-miR319i.v1	miR23_R599_L22	gma-miR319i	gma-miR319i
gma-miR3522.v1	miR11_R707_L21	gma-miR3522	gma-miR3522
gma-miR3522.v2	miR1310_R2_L22	gma-miR3522	gma-miR3522
gma-miR3522.v3	miR1311_R2_L20	gma-miR3522	gma-miR3522
gma-miR390a-3p.v1	miR251_R51_L21	gma-miR390a	gma-miR390a-3p
gma-miR390c.v1	miR251_R51_L21	gma-miR390c	gma-miR390c
gma-miR390e.v1	miR6_R742_L21	gma-miR390e	gma-miR390e
gma-miR390e.v2	miR1034_R4_L20	gma-miR390e	gma-miR390e
gma-miR394a-3p.v1	miR432_R20_L20	gma-miR394a	gma-miR394a-3p
gma-miR394a-3p.v2	miR480_R16_L21	gma-miR394a	gma-miR394a-3p
gma-miR395h.v1	miR287_R40_L21	gma-miR395h	gma-miR395h
gma-miR395h.v2	miR332_R31_L20	gma-miR395h	gma-miR395h
gma-miR395i.v1	miR65_R287_L21	gma-miR395i	gma-miR395i
gma-miR395i.v2	miR332_R31_L20	gma-miR395i	gma-miR395i
gma-miR395j.v1	miR65_R287_L21	gma-miR395j	gma-miR395j
gma-miR395j.v2	miR332_R31_L20	gma-miR395j	gma-miR395j
gma-miR395k.v1	miR79_R247_L21	gma-miR395k	gma-miR395k
gma-miR395k.v2	miR332_R31_L20	gma-miR395k	gma-miR395k
gma-miR395l.v1	miR79_R247_L21	gma-miR395l	gma-miR395l
gma-miR395l.v2	miR332_R31_L20	gma-miR395l	gma-miR395l
gma-miR395m.v1	miR65_R287_L21	gma-miR395m	gma-miR395m
gma-miR395m.v2	miR287_R40_L21	gma-miR395m	gma-miR395m
gma-miR395m.v3	miR332_R31_L20	gma-miR395m	gma-miR395m
gma-miR396a-3p.v1	miR124_R144_L21	gma-miR396a	gma-miR396a-3p
gma-miR396d.v1	miR302_R37_L21	gma-miR396d	gma-miR396d
gma-miR396e.v1	miR28_R539_L21	gma-miR396e	gma-miR396e
gma-miR396e.v2	miR89_R212_L20	gma-miR396e	gma-miR396e
gma-miR396h.v1	miR28_R539_L21	gma-miR396h	gma-miR396h
gma-miR396h.v2	miR89_R212_L20	gma-miR396h	gma-miR396h
gma-miR399d.v1	miR375_R26_L22	gma-miR399d	gma-miR399d
gma-miR399f.v1	miR284_R41_L21	gma-miR399f	gma-miR399f
gma-miR408b-5p.v1	miR467_R17_L21	gma-miR408b	gma-miR408b-5p
gma-miR408d.v1	miR5_R745_L21	gma-miR408d	gma-miR408d
gma-miR4352a.v1	miR1109_R3_L21	gma-miR4352a	gma-miR4352a
gma-miR4366.v1	miR731_R7_L22	gma-miR4366	gma-miR4366
